sent_utc,latency_ms,status,probability,label,model_version
2026-09-26T05:23:53.046+00:00,57.12,200,0.047160777058547716,0,1
2026-09-26T05:23:53.055+00:00,54.3,200,0.026525476779815486,0,1
2026-09-26T05:23:53.069+00:00,60.79,200,0.049152551299891226,0,1
2026-09-26T05:23:53.130+00:00,98.24,200,0.2430185895044239,0,1
2026-09-26T05:23:53.069+00:00,161.22,200,0.041021093547388504,0,1
2026-09-26T05:23:53.103+00:00,127.5,200,0.05009768971884093,0,1
2026-09-26T05:23:53.109+00:00,122.02,200,0.2567629311148988,0,1
2026-09-26T05:23:53.093+00:00,138.97,200,0.061867459411556476,0,1
2026-09-26T05:23:53.093+00:00,139.76,200,0.013911316205004192,0,1
2026-09-26T05:23:53.231+00:00,73.6,200,0.3652762615174061,0,1
2026-09-26T05:23:53.228+00:00,105.39,200,0.0135176220621785,0,1
2026-09-26T05:23:53.230+00:00,104.69,200,0.06183943572947879,0,1
2026-09-26T05:23:53.233+00:00,105.56,200,0.19342383376977249,0,1
2026-09-26T05:23:53.232+00:00,108.76,200,0.11446707615806483,0,1
2026-09-26T05:23:53.231+00:00,111.1,200,0.14645543196751643,0,1
2026-09-26T05:23:53.305+00:00,56.17,200,0.041088198181500495,0,1
2026-09-26T05:23:53.334+00:00,64.41,200,0.1671383585180241,0,1
2026-09-26T05:23:53.339+00:00,60.23,200,0.03153358473130143,0,1
2026-09-26T05:23:53.335+00:00,76.48,200,0.028941411574560105,0,1
2026-09-26T05:23:53.341+00:00,70.9,200,0.2005365982902856,0,1
2026-09-26T05:23:53.342+00:00,71.19,200,0.41198893263332836,0,1
2026-09-26T05:23:53.361+00:00,52.88,200,0.046155321028665125,0,1
2026-09-26T05:23:53.398+00:00,55.02,200,0.017832940864060204,0,1
2026-09-26T05:23:53.399+00:00,55.98,200,0.06223067679942763,0,1
2026-09-26T05:23:53.411+00:00,68.69,200,0.026261951506654047,0,1
2026-09-26T05:23:53.413+00:00,68.86,200,0.0135176220621785,0,1
2026-09-26T05:23:53.412+00:00,70.72,200,0.016813015894295565,0,1
2026-09-26T05:23:53.414+00:00,71.9,200,0.03717027725763608,0,1
2026-09-26T05:23:53.453+00:00,55.72,200,0.36224529394443017,0,1
2026-09-26T05:23:53.455+00:00,58.87,200,0.047160777058547716,0,1
2026-09-26T05:23:53.480+00:00,66.76,200,0.10296768678805186,0,1
2026-09-26T05:23:53.509+00:00,53.68,200,0.02774966006120997,0,1
2026-09-26T05:23:53.482+00:00,94.7,200,0.03888092158734585,0,1
2026-09-26T05:23:53.482+00:00,95.62,200,0.02818745780419464,0,1
2026-09-26T05:23:53.486+00:00,92.64,200,0.02468354815499456,1,1
2026-09-26T05:23:53.514+00:00,67.28,200,0.17191132420967783,0,1
2026-09-26T05:23:53.547+00:00,52.91,200,0.042456920371981156,0,1
2026-09-26T05:23:53.563+00:00,52.41,200,0.21739694166321843,0,1
2026-09-26T05:23:53.577+00:00,61.35,200,0.016065527431948296,0,1
2026-09-26T05:23:53.578+00:00,69.81,200,0.015010655932174715,0,1
2026-09-26T05:23:53.581+00:00,67.39,200,0.016065527431948296,0,1
2026-09-26T05:23:53.579+00:00,71.1,200,0.2855755471301898,0,1
2026-09-26T05:23:53.600+00:00,59.54,200,0.05014528892758923,0,1
2026-09-26T05:23:53.615+00:00,136.66,200,0.2106893482928767,0,1
2026-09-26T05:23:53.648+00:00,105.53,200,0.14348726370672507,0,1
2026-09-26T05:23:53.638+00:00,116.08,200,0.08492873167002023,0,1
2026-09-26T05:23:53.648+00:00,106.49,200,0.013600070298617048,0,1
2026-09-26T05:23:53.650+00:00,106.06,200,0.13030758998116496,1,1
2026-09-26T05:23:53.659+00:00,136.62,200,0.01946082055280709,0,1
2026-09-26T05:23:53.752+00:00,71.12,200,0.03207635528465022,0,1
2026-09-26T05:23:53.755+00:00,75.29,200,0.2097352252734591,1,1
2026-09-26T05:23:53.756+00:00,79.46,200,0.4421605418692316,0,1
2026-09-26T05:23:53.754+00:00,81.92,200,0.2355415416256513,1,1
2026-09-26T05:23:53.753+00:00,83.61,200,0.18896205915013797,1,1
2026-09-26T05:23:53.796+00:00,49.86,200,0.025724843668758834,0,1
2026-09-26T05:23:53.823+00:00,55.81,200,0.013846838650652553,0,1
2026-09-26T05:23:53.830+00:00,55.33,200,0.14735721006293243,0,1
2026-09-26T05:23:53.846+00:00,50.5,200,0.05915732670459528,0,1
2026-09-26T05:23:53.836+00:00,80.32,200,0.1516354835210442,0,1
2026-09-26T05:23:53.835+00:00,82.41,200,0.07108772376228145,0,1
